timestamp_ns,swap_id,exact_ca_timestamp_match
362766125,2800035,True
375268958,2800036,True
387771750,2800037,True
400274541,2800038,True
412777333,2800039,True
425280166,2800040,True
437782958,2800041,True
450285791,2800042,True
462788625,2800043,True
475291416,2800044,True
487794208,2800045,True
500297000,2800046,True
512799833,2800047,True
525302625,2800048,True
537805458,2800049,True
550308250,2800050,True
562811083,2800051,True
575313875,2800052,True
587816708,2800053,True
600319500,2800054,True
612822291,2800055,True
625325083,2800056,True
637827875,2800057,True
650330708,2800058,True
662833541,2800059,True
675336333,2800060,True
687839166,2800061,True
704509541,2800062,True
721179916,2800063,True
737850375,2800064,True
754520750,2800065,True
771191208,2800066,True
787861625,2800067,True
800364416,2800068,True
812867208,2800069,True
825370000,2800070,True
837872833,2800071,True
850375666,2800072,True
862878458,2800073,True
875381250,2800074,True
887884041,2800075,True
900386875,2800076,True
912889708,2800077,True
925392458,2800078,True
937895250,2800079,True
950398125,2800080,True
962900916,2800081,True
975403708,2800082,True
987906541,2800083,True
1000409291,2800084,True
1012912125,2800085,True
1025414916,2800086,True
1037917750,2800087,True
1050420541,2800088,True
1062923416,2800089,True
1075426166,2800090,True
1087929000,2800091,True
1100431791,2800092,True
1112934625,2800093,True
1125437416,2800094,True
1137940208,2800095,True
1150443041,2800096,True
1162945833,2800097,True
1175448625,2800098,True
1187951416,2800099,True
1200454250,2800100,True
1212957041,2800101,True
1225459875,2800102,True
1237962666,2800103,True
1250465500,2800104,True
1262968291,2800105,True
1275471125,2800106,True
1292141541,2800107,True
1308811916,2800108,True
1325482333,2800109,True
1342152750,2800110,True
1358823125,2800111,True
1375493541,2800112,True
1392164000,2800113,True
1408834416,2800114,True
1425504791,2800115,True
1438007625,2800116,True
1450510416,2800117,True
1463013208,2800118,True
1475516041,2800119,True
1488018833,2800120,True
1500521625,2800121,True
1513024458,2800122,True
1525527250,2800123,True
1538030083,2800124,True
1550532916,2800125,True
1563035666,2800126,True
1575538458,2800127,True
1588041333,2800128,True
1600544125,2800129,True
1613046916,2800130,True
1625549750,2800131,True
1638052541,2800132,True
1650555333,2800133,True
1663058166,2800134,True
1675560958,2800135,True
1688063750,2800136,True
1700566625,2800137,True
1713069416,2800138,True
1725572166,2800139,True
1738075000,2800140,True
1750577791,2800141,True
1763080625,2800142,True
1775583458,2800143,True
1788086208,2800144,True
1800589000,2800145,True
1813091833,2800146,True
1825594666,2800147,True
1838097458,2800148,True
1854767833,2800149,True
1871438291,2800150,True
1888108708,2800151,True
1904779083,2800152,True
1921449500,2800153,True
1938119916,2800154,True
1954790333,2800155,True
1971460750,2800156,True
1988131166,2800157,True
2004801541,2800158,True
2021472000,2800159,True
2033974791,2800160,True
2046477541,2800161,True
2058980375,2800162,True
2071483208,2800163,True
2083986000,2800164,True
2096488833,2800165,True
2108991583,2800166,True
2121494416,2800167,True
2133997208,2800168,True
2146500083,2800169,True
2159002833,2800170,True
2171505666,2800171,True
2184008458,2800172,True
2196511291,2800173,True
2209014083,2800174,True
2221516875,2800175,True
2234019708,2800176,True
2246522500,2800177,True
2259025291,2800178,True
2271528125,2800179,True
2284030916,2800180,True
2296533708,2800181,True
2309036541,2800182,True
2321539375,2800183,True
2334042166,2800184,True
2346544958,2800185,True
2359047750,2800186,True
2371550583,2800187,True
2384053375,2800188,True
2396556208,2800189,True
2409059000,2800190,True
2421561833,2800191,True
2438232208,2800192,True
2446567583,2800193,True
2463237833,2800194,True
2479908250,2800195,True
2496578666,2800196,True
2513249083,2800197,True
2529919500,2800198,True
2546589916,2800199,True
2567427916,2800200,True
2575763250,2800201,True
2588265916,2800202,True
2600768708,2800203,True
2613271541,2800204,True
2625774375,2800205,True
2638277166,2800206,True
2650779958,2800207,True
2663282750,2800208,True
2675785583,2800209,True
2688288375,2800210,True
2700791166,2800211,True
2713294000,2800212,True
2725796791,2800213,True
2738299625,2800214,True
2750802458,2800215,True
2763305208,2800216,True
2775808041,2800217,True
2788310833,2800218,True
2800813625,2800219,True
2813316458,2800220,True
2825819291,2800221,True
2838322083,2800222,True
2850824916,2800223,True
2863327708,2800224,True
2875830458,2800225,True
2888333291,2800226,True
2900836125,2800227,True
2913338916,2800228,True
2925841750,2800229,True
2938344541,2800230,True
2950847333,2800231,True
2963350125,2800232,True
2975852916,2800233,True
2988355750,2800234,True
3000858583,2800235,True
3013361375,2800236,True
3030031791,2800237,True
3046702166,2800238,True
3063372625,2800239,True
3080043083,2800240,True
3109216416,2800241,True
3117551625,2800242,True
3134221833,2800243,True
3146724666,2800244,True
3159227500,2800245,True
3171730291,2800246,True
3184233125,2800247,True
3196735916,2800248,True
3209238708,2800249,True
3221741500,2800250,True
3234244291,2800251,True
3250914750,2800252,True
3259250125,2800253,True
3271752750,2800254,True
3284255541,2800255,True
3296758375,2800256,True
3309261166,2800257,True
3321764000,2800258,True
3334266791,2800259,True
3346769583,2800260,True
3363440041,2800261,True
3380110416,2800262,True
3396780833,2800263,True
3413451250,2800264,True
3430121625,2800265,True
3446792041,2800266,True
3463462458,2800267,True
3480132875,2800268,True
3496803291,2800269,True
3513473666,2800270,True
3534311708,2800271,True
3542647041,2800272,True
3550982291,2800273,True
3559317500,2800274,True
3567652666,2800275,True
3580155333,2800276,True
3592658125,2800277,True
3605160958,2800278,True
3617663750,2800279,True
3630166541,2800280,True
3642669375,2800281,True
3655172166,2800282,True
3667675000,2800283,True
3680177833,2800284,True
3692680625,2800285,True
3705183416,2800286,True
3717686208,2800287,True
3730189000,2800288,True
3742691833,2800289,True
3755194666,2800290,True
3767697458,2800291,True
3780200250,2800292,True
3792703083,2800293,True
3805205875,2800294,True
3817708708,2800295,True
3830211541,2800296,True
3842714333,2800297,True
3855217166,2800298,True
3867719916,2800299,True
3880222708,2800300,True
3892725500,2800301,True
3905228333,2800302,True
3917731166,2800303,True
3930234000,2800304,True
3946904375,2800305,True
3963574750,2800306,True
3980245208,2800307,True
3996915583,2800308,True
4013586041,2800309,True
4026088833,2800310,True
4034424166,2800311,True
4042759416,2800312,True
4051094625,2800313,True
4059429791,2800314,True
4067765041,2800315,True
4076100208,2800316,True
4084435416,2800317,True
4092770625,2800318,True
4101105833,2800319,True
4109441041,2800320,True
4117776208,2800321,True
4126111458,2800322,True
4134446625,2800323,True
4142781875,2800324,True
4151117083,2800325,True
4159452250,2800326,True
4167787458,2800327,True
4176122666,2800328,True
4184457875,2800329,True
4192793125,2800330,True
4201128291,2800331,True
4213630916,2800332,True
4230301333,2800333,True
4246971750,2800334,True
4263642208,2800335,True
4280312583,2800336,True
4296982958,2800337,True
4313653375,2800338,True
4330323833,2800339,True
